# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-02-21 02:09:34 -05:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11312676 MIDDLE R AT MIDDLE RIVER CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 11312676
#    TS_ID       Parameter Description
#    257812      00480     Salinity, water, unfiltered, parts per thousand
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	257812_00480	257812_00480_cd
5s	15s	20d	6s	14n	10s
USGS	11312676	2023-02-13 00:00	PST	0.2	P
USGS	11312676	2023-02-13 00:15	PST	0.2	P
USGS	11312676	2023-02-13 00:30	PST	0.2	P
USGS	11312676	2023-02-13 00:45	PST	0.2	P
USGS	11312676	2023-02-13 01:00	PST	0.2	P
USGS	11312676	2023-02-13 01:15	PST	0.2	P
USGS	11312676	2023-02-13 01:30	PST	0.2	P
USGS	11312676	2023-02-13 01:45	PST	0.2	P
USGS	11312676	2023-02-13 02:00	PST	0.2	P
USGS	11312676	2023-02-13 02:15	PST	0.2	P
USGS	11312676	2023-02-13 02:30	PST	0.2	P
USGS	11312676	2023-02-13 02:45	PST	0.2	P
USGS	11312676	2023-02-13 03:00	PST	0.2	P
USGS	11312676	2023-02-13 03:15	PST	0.2	P
USGS	11312676	2023-02-13 03:30	PST	0.2	P
USGS	11312676	2023-02-13 03:45	PST	0.2	P
USGS	11312676	2023-02-13 04:00	PST	0.2	P
USGS	11312676	2023-02-13 04:15	PST	0.2	P
USGS	11312676	2023-02-13 04:30	PST	0.2	P
USGS	11312676	2023-02-13 04:45	PST	0.2	P
USGS	11312676	2023-02-13 05:00	PST	0.2	P
USGS	11312676	2023-02-13 05:15	PST	0.2	P
USGS	11312676	2023-02-13 05:30	PST	0.2	P
USGS	11312676	2023-02-13 05:45	PST	0.2	P
USGS	11312676	2023-02-13 06:00	PST	0.2	P
USGS	11312676	2023-02-13 06:15	PST	0.2	P
USGS	11312676	2023-02-13 06:30	PST	0.2	P
USGS	11312676	2023-02-13 06:45	PST	0.1	P
USGS	11312676	2023-02-13 07:00	PST	0.1	P
USGS	11312676	2023-02-13 07:15	PST	0.1	P
USGS	11312676	2023-02-13 07:30	PST	0.1	P
USGS	11312676	2023-02-13 07:45	PST	0.1	P
USGS	11312676	2023-02-13 08:00	PST	0.1	P
USGS	11312676	2023-02-13 08:15	PST	0.1	P
USGS	11312676	2023-02-13 08:30	PST	0.1	P
USGS	11312676	2023-02-13 08:45	PST	0.1	P
USGS	11312676	2023-02-13 09:00	PST	0.1	P
USGS	11312676	2023-02-13 09:15	PST	0.1	P
USGS	11312676	2023-02-13 09:30	PST	0.1	P
USGS	11312676	2023-02-13 09:45	PST	0.1	P
USGS	11312676	2023-02-13 10:00	PST	0.1	P
USGS	11312676	2023-02-13 10:15	PST	0.1	P
USGS	11312676	2023-02-13 10:30	PST	0.1	P
USGS	11312676	2023-02-13 10:45	PST	0.1	P
USGS	11312676	2023-02-13 11:00	PST	0.1	P
USGS	11312676	2023-02-13 11:15	PST	0.1	P
USGS	11312676	2023-02-13 11:30	PST	0.1	P
USGS	11312676	2023-02-13 11:45	PST	0.1	P
USGS	11312676	2023-02-13 12:00	PST	0.1	P
USGS	11312676	2023-02-13 12:15	PST	0.1	P
USGS	11312676	2023-02-13 12:30	PST	0.1	P
USGS	11312676	2023-02-13 12:45	PST	0.1	P
USGS	11312676	2023-02-13 13:00	PST	0.1	P
USGS	11312676	2023-02-13 13:15	PST	0.1	P
USGS	11312676	2023-02-13 13:30	PST	0.1	P
USGS	11312676	2023-02-13 13:45	PST	0.1	P
USGS	11312676	2023-02-13 14:00	PST	0.1	P
USGS	11312676	2023-02-13 14:15	PST	0.1	P
USGS	11312676	2023-02-13 14:30	PST	0.1	P
USGS	11312676	2023-02-13 14:45	PST	0.1	P
USGS	11312676	2023-02-13 15:00	PST	0.1	P
USGS	11312676	2023-02-13 15:15	PST	0.1	P
USGS	11312676	2023-02-13 15:30	PST	0.1	P
USGS	11312676	2023-02-13 15:45	PST	0.1	P
USGS	11312676	2023-02-13 16:00	PST	0.1	P
USGS	11312676	2023-02-13 16:15	PST	0.1	P
USGS	11312676	2023-02-13 16:30	PST	0.1	P
USGS	11312676	2023-02-13 16:45	PST	0.1	P
USGS	11312676	2023-02-13 17:00	PST	0.1	P
USGS	11312676	2023-02-13 17:15	PST	0.1	P
USGS	11312676	2023-02-13 17:30	PST	0.1	P
USGS	11312676	2023-02-13 17:45	PST	0.1	P
USGS	11312676	2023-02-13 18:00	PST	0.1	P
USGS	11312676	2023-02-13 18:15	PST	0.1	P
USGS	11312676	2023-02-13 18:30	PST	0.1	P
USGS	11312676	2023-02-13 18:45	PST	0.1	P
USGS	11312676	2023-02-13 19:00	PST	0.1	P
USGS	11312676	2023-02-13 19:15	PST	0.1	P
USGS	11312676	2023-02-13 19:30	PST	0.1	P
USGS	11312676	2023-02-13 19:45	PST	0.1	P
USGS	11312676	2023-02-13 20:00	PST	0.2	P
USGS	11312676	2023-02-13 20:15	PST	0.2	P
USGS	11312676	2023-02-13 20:30	PST	0.2	P
USGS	11312676	2023-02-13 20:45	PST	0.2	P
USGS	11312676	2023-02-13 21:00	PST	0.2	P
USGS	11312676	2023-02-13 21:15	PST	0.2	P
USGS	11312676	2023-02-13 21:30	PST	0.2	P
USGS	11312676	2023-02-13 21:45	PST	0.2	P
USGS	11312676	2023-02-13 22:00	PST	0.2	P
USGS	11312676	2023-02-13 22:15	PST	0.2	P
USGS	11312676	2023-02-13 22:30	PST	0.2	P
USGS	11312676	2023-02-13 22:45	PST	0.2	P
USGS	11312676	2023-02-13 23:00	PST	0.2	P
USGS	11312676	2023-02-13 23:15	PST	0.2	P
USGS	11312676	2023-02-13 23:30	PST	0.2	P
USGS	11312676	2023-02-13 23:45	PST	0.2	P
USGS	11312676	2023-02-14 00:00	PST	0.2	P
USGS	11312676	2023-02-14 00:15	PST	0.2	P
USGS	11312676	2023-02-14 00:30	PST	0.2	P
USGS	11312676	2023-02-14 00:45	PST	0.2	P
USGS	11312676	2023-02-14 01:00	PST	0.2	P
USGS	11312676	2023-02-14 01:15	PST	0.2	P
USGS	11312676	2023-02-14 01:30	PST	0.2	P
USGS	11312676	2023-02-14 01:45	PST	0.2	P
USGS	11312676	2023-02-14 02:00	PST	0.2	P
USGS	11312676	2023-02-14 02:15	PST	0.2	P
USGS	11312676	2023-02-14 02:30	PST	0.2	P
USGS	11312676	2023-02-14 02:45	PST	0.2	P
USGS	11312676	2023-02-14 03:00	PST	0.2	P
USGS	11312676	2023-02-14 03:15	PST	0.2	P
USGS	11312676	2023-02-14 03:30	PST	0.2	P
USGS	11312676	2023-02-14 03:45	PST	0.2	P
USGS	11312676	2023-02-14 04:00	PST	0.2	P
USGS	11312676	2023-02-14 04:15	PST	0.2	P
USGS	11312676	2023-02-14 04:30	PST	0.2	P
USGS	11312676	2023-02-14 04:45	PST	0.2	P
USGS	11312676	2023-02-14 05:00	PST	0.2	P
USGS	11312676	2023-02-14 05:15	PST	0.2	P
USGS	11312676	2023-02-14 05:30	PST	0.2	P
USGS	11312676	2023-02-14 05:45	PST	0.2	P
USGS	11312676	2023-02-14 06:00	PST	0.2	P
