agency_cd,site_no,datetime,tz_cd,257812_00480,257812_00480_cd
5s,15s,20d,6s,14n,10s
USGS,11312676,2023-02-16 00:00,PST,0.2,P
USGS,11312676,2023-02-16 00:15,PST,0.2,P
USGS,11312676,2023-02-16 00:30,PST,0.2,P
USGS,11312676,2023-02-16 00:45,PST,0.2,P
USGS,11312676,2023-02-16 01:00,PST,0.2,P
USGS,11312676,2023-02-16 01:15,PST,0.2,P
USGS,11312676,2023-02-16 01:30,PST,0.2,P
USGS,11312676,2023-02-16 01:45,PST,0.2,P
USGS,11312676,2023-02-16 02:00,PST,0.2,P
USGS,11312676,2023-02-16 02:15,PST,0.2,P
USGS,11312676,2023-02-16 02:30,PST,0.2,P
USGS,11312676,2023-02-16 02:45,PST,0.2,P
USGS,11312676,2023-02-16 03:00,PST,0.2,P
USGS,11312676,2023-02-16 03:15,PST,0.2,P
USGS,11312676,2023-02-16 03:30,PST,0.2,P
USGS,11312676,2023-02-16 03:45,PST,0.2,P
USGS,11312676,2023-02-16 04:00,PST,0.2,P
USGS,11312676,2023-02-16 04:15,PST,0.2,P
USGS,11312676,2023-02-16 04:30,PST,0.2,P
USGS,11312676,2023-02-16 04:45,PST,0.2,P
USGS,11312676,2023-02-16 05:00,PST,0.2,P
USGS,11312676,2023-02-16 05:15,PST,0.2,P
USGS,11312676,2023-02-16 05:30,PST,0.2,P
USGS,11312676,2023-02-16 05:45,PST,0.2,P
USGS,11312676,2023-02-16 06:00,PST,0.2,P
USGS,11312676,2023-02-16 06:15,PST,0.2,P
USGS,11312676,2023-02-16 06:30,PST,0.2,P
USGS,11312676,2023-02-16 06:45,PST,0.2,P
USGS,11312676,2023-02-16 07:00,PST,0.2,P
USGS,11312676,2023-02-16 07:15,PST,0.2,P
USGS,11312676,2023-02-16 07:30,PST,0.2,P
USGS,11312676,2023-02-16 07:45,PST,0.2,P
USGS,11312676,2023-02-16 08:00,PST,0.2,P
USGS,11312676,2023-02-16 08:15,PST,0.2,P
USGS,11312676,2023-02-16 08:30,PST,0.2,P
USGS,11312676,2023-02-16 08:45,PST,0.1,P
USGS,11312676,2023-02-16 09:00,PST,0.1,P
USGS,11312676,2023-02-16 09:15,PST,0.1,P
USGS,11312676,2023-02-16 09:30,PST,0.1,P
USGS,11312676,2023-02-16 09:45,PST,0.1,P
USGS,11312676,2023-02-16 10:00,PST,0.1,P
