# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-02-25 20:47:10 -05:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455385 CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 11455385
#    TS_ID       Parameter Description
#    313338      99133     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen, BGC PROJECT
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	313338_99133	313338_99133_cd
5s	15s	20d	6s	14n	10s
USGS	11455385	2023-02-24 00:00	PST	0.49	P
USGS	11455385	2023-02-24 00:15	PST	0.49	P
USGS	11455385	2023-02-24 00:30	PST	0.50	P
USGS	11455385	2023-02-24 00:45	PST	0.50	P
USGS	11455385	2023-02-24 01:00	PST	0.51	P
USGS	11455385	2023-02-24 01:15	PST	0.51	P
USGS	11455385	2023-02-24 01:30	PST	0.52	P
USGS	11455385	2023-02-24 01:45	PST	0.52	P
USGS	11455385	2023-02-24 02:00	PST	0.51	P
USGS	11455385	2023-02-24 02:15	PST	0.50	P
USGS	11455385	2023-02-24 02:30	PST	0.50	P
USGS	11455385	2023-02-24 02:45	PST	0.49	P
USGS	11455385	2023-02-24 03:00	PST	0.49	P
USGS	11455385	2023-02-24 03:15	PST	0.48	P
USGS	11455385	2023-02-24 03:30	PST	0.48	P
USGS	11455385	2023-02-24 03:45	PST	0.47	P
USGS	11455385	2023-02-24 04:00	PST	0.47	P
USGS	11455385	2023-02-24 04:15	PST	0.47	P
USGS	11455385	2023-02-24 04:30	PST	0.47	P
USGS	11455385	2023-02-24 04:45	PST	0.47	P
USGS	11455385	2023-02-24 05:00	PST	0.47	P
USGS	11455385	2023-02-24 05:15	PST	0.47	P
USGS	11455385	2023-02-24 05:30	PST	0.47	P
USGS	11455385	2023-02-24 05:45	PST	0.47	P
USGS	11455385	2023-02-24 06:00	PST	0.47	P
USGS	11455385	2023-02-24 06:15	PST	0.47	P
USGS	11455385	2023-02-24 06:30	PST	0.47	P
USGS	11455385	2023-02-24 06:45	PST	0.47	P
USGS	11455385	2023-02-24 07:00	PST	0.47	P
USGS	11455385	2023-02-24 07:15	PST	0.47	P
USGS	11455385	2023-02-24 07:30	PST	0.47	P
USGS	11455385	2023-02-24 07:45	PST	0.47	P
USGS	11455385	2023-02-24 08:00	PST	0.48	P
USGS	11455385	2023-02-24 08:15	PST	0.47	P
USGS	11455385	2023-02-24 08:30	PST	0.47	P
USGS	11455385	2023-02-24 08:45	PST	0.47	P
USGS	11455385	2023-02-24 09:00	PST	0.47	P
USGS	11455385	2023-02-24 09:15	PST	0.47	P
USGS	11455385	2023-02-24 09:30	PST	0.47	P
USGS	11455385	2023-02-24 09:45	PST	0.47	P
USGS	11455385	2023-02-24 10:00	PST	0.47	P
USGS	11455385	2023-02-24 10:15	PST	0.47	P
USGS	11455385	2023-02-24 10:30	PST	0.46	P
USGS	11455385	2023-02-24 10:45	PST	0.46	P
USGS	11455385	2023-02-24 11:00	PST	0.46	P
USGS	11455385	2023-02-24 11:15	PST	0.47	P
USGS	11455385	2023-02-24 11:30	PST	0.47	P
USGS	11455385	2023-02-24 11:45	PST	0.47	P
USGS	11455385	2023-02-24 12:00	PST	0.47	P
USGS	11455385	2023-02-24 12:15	PST	0.47	P
USGS	11455385	2023-02-24 12:30	PST	0.47	P
USGS	11455385	2023-02-24 12:45	PST	0.48	P
USGS	11455385	2023-02-24 13:00	PST	0.49	P
USGS	11455385	2023-02-24 13:15	PST	0.48	P
USGS	11455385	2023-02-24 13:30	PST	0.49	P
USGS	11455385	2023-02-24 13:45	PST	0.50	P
USGS	11455385	2023-02-24 14:00	PST	0.50	P
USGS	11455385	2023-02-24 14:15	PST	0.50	P
USGS	11455385	2023-02-24 14:30	PST	0.51	P
USGS	11455385	2023-02-24 14:45	PST	0.51	P
USGS	11455385	2023-02-24 15:00	PST	0.51	P
USGS	11455385	2023-02-24 15:15	PST	0.52	P
USGS	11455385	2023-02-24 15:30	PST	0.52	P
USGS	11455385	2023-02-24 15:45	PST	0.52	P
USGS	11455385	2023-02-24 16:00	PST	0.51	P
USGS	11455385	2023-02-24 16:15	PST	0.50	P
USGS	11455385	2023-02-24 16:30	PST	0.51	P
USGS	11455385	2023-02-24 16:45	PST	0.49	P
USGS	11455385	2023-02-24 17:00	PST	0.45	P
USGS	11455385	2023-02-24 17:15	PST	0.48	P
USGS	11455385	2023-02-24 17:30	PST	0.48	P
USGS	11455385	2023-02-24 17:45	PST	0.48	P
USGS	11455385	2023-02-24 18:00	PST	0.48	P
USGS	11455385	2023-02-24 18:15	PST	0.48	P
USGS	11455385	2023-02-24 18:30	PST	0.48	P
USGS	11455385	2023-02-24 18:45	PST	0.48	P
USGS	11455385	2023-02-24 19:00	PST	0.48	P
USGS	11455385	2023-02-24 19:15	PST	0.48	P
USGS	11455385	2023-02-24 19:30	PST	0.47	P
USGS	11455385	2023-02-24 19:45	PST	0.47	P
USGS	11455385	2023-02-24 20:00	PST	0.47	P
USGS	11455385	2023-02-24 20:15	PST	0.47	P
USGS	11455385	2023-02-24 20:30	PST	0.47	P
USGS	11455385	2023-02-24 20:45	PST	0.47	P
USGS	11455385	2023-02-24 21:00	PST	0.46	P
USGS	11455385	2023-02-24 21:15	PST	0.45	P
USGS	11455385	2023-02-24 21:30	PST	0.47	P
USGS	11455385	2023-02-24 21:45	PST	0.47	P
USGS	11455385	2023-02-24 22:00	PST	0.47	P
USGS	11455385	2023-02-24 22:15	PST	0.47	P
USGS	11455385	2023-02-24 22:30	PST	0.47	P
USGS	11455385	2023-02-24 22:45	PST	0.47	P
USGS	11455385	2023-02-24 23:00	PST	0.47	P
USGS	11455385	2023-02-24 23:15	PST	0.47	P
USGS	11455385	2023-02-24 23:30	PST	0.47	P
USGS	11455385	2023-02-24 23:45	PST	0.48	P
USGS	11455385	2023-02-25 00:00	PST	0.47	P
USGS	11455385	2023-02-25 00:15	PST	0.48	P
USGS	11455385	2023-02-25 00:30	PST	0.48	P
USGS	11455385	2023-02-25 00:45	PST	0.49	P
USGS	11455385	2023-02-25 01:00	PST	0.49	P
USGS	11455385	2023-02-25 01:15	PST	0.50	P
USGS	11455385	2023-02-25 01:30	PST	0.49	P
USGS	11455385	2023-02-25 01:45	PST	0.50	P
USGS	11455385	2023-02-25 02:00	PST	0.50	P
USGS	11455385	2023-02-25 02:15	PST	0.51	P
USGS	11455385	2023-02-25 02:30	PST	0.51	P
USGS	11455385	2023-02-25 02:45	PST	0.51	P
USGS	11455385	2023-02-25 03:00	PST	0.51	P
USGS	11455385	2023-02-25 03:15	PST	0.51	P
USGS	11455385	2023-02-25 03:30	PST	0.51	P
USGS	11455385	2023-02-25 03:45	PST	0.48	P
USGS	11455385	2023-02-25 04:00	PST	0.45	P
USGS	11455385	2023-02-25 04:15	PST	0.47	P
USGS	11455385	2023-02-25 04:30	PST	0.47	P
USGS	11455385	2023-02-25 04:45	PST	0.47	P
USGS	11455385	2023-02-25 05:00	PST	0.47	P
USGS	11455385	2023-02-25 05:15	PST	0.47	P
USGS	11455385	2023-02-25 05:30	PST	0.47	P
USGS	11455385	2023-02-25 05:45	PST	0.47	P
USGS	11455385	2023-02-25 06:00	PST	0.47	P
USGS	11455385	2023-02-25 06:15	PST	0.47	P
USGS	11455385	2023-02-25 06:30	PST	0.47	P
USGS	11455385	2023-02-25 06:45	PST	0.46	P
USGS	11455385	2023-02-25 07:00	PST	0.46	P
USGS	11455385	2023-02-25 07:15	PST	0.46	P
USGS	11455385	2023-02-25 07:30	PST	0.46	P
USGS	11455385	2023-02-25 07:45	PST	0.46	P
USGS	11455385	2023-02-25 08:00	PST	0.46	P
USGS	11455385	2023-02-25 08:15	PST	0.46	P
USGS	11455385	2023-02-25 08:30	PST	0.46	P
USGS	11455385	2023-02-25 08:45	PST	0.46	P
USGS	11455385	2023-02-25 09:00	PST	0.46	P
USGS	11455385	2023-02-25 09:15	PST	0.46	P
USGS	11455385	2023-02-25 09:30	PST	0.46	P
USGS	11455385	2023-02-25 09:45	PST	0.46	P
USGS	11455385	2023-02-25 10:00	PST	0.46	P
USGS	11455385	2023-02-25 10:15	PST	0.46	P
USGS	11455385	2023-02-25 10:30	PST	0.46	P
USGS	11455385	2023-02-25 10:45	PST	0.46	P
USGS	11455385	2023-02-25 11:00	PST	0.46	P
USGS	11455385	2023-02-25 11:15	PST	0.46	P
USGS	11455385	2023-02-25 11:30	PST	0.46	P
USGS	11455385	2023-02-25 11:45	PST	0.46	P
USGS	11455385	2023-02-25 12:00	PST	0.46	P
USGS	11455385	2023-02-25 12:15	PST	0.46	P
USGS	11455385	2023-02-25 12:30	PST	0.47	P
USGS	11455385	2023-02-25 12:45	PST	0.47	P
USGS	11455385	2023-02-25 13:00	PST	0.47	P
USGS	11455385	2023-02-25 13:15	PST	0.47	P
USGS	11455385	2023-02-25 13:30	PST	0.48	P
USGS	11455385	2023-02-25 13:45	PST	0.48	P
USGS	11455385	2023-02-25 14:00	PST	0.48	P
USGS	11455385	2023-02-25 14:15	PST	0.48	P
USGS	11455385	2023-02-25 14:30	PST	0.49	P
USGS	11455385	2023-02-25 14:45	PST	0.50	P
USGS	11455385	2023-02-25 15:00	PST	0.49	P
USGS	11455385	2023-02-25 15:15	PST	0.50	P
USGS	11455385	2023-02-25 15:30	PST	0.50	P
USGS	11455385	2023-02-25 15:45	PST	0.51	P
USGS	11455385	2023-02-25 16:00	PST	0.51	P
USGS	11455385	2023-02-25 16:15	PST	0.51	P
USGS	11455385	2023-02-25 16:30	PST	0.52	P
USGS	11455385	2023-02-25 16:45	PST	0.51	P
USGS	11455385	2023-02-25 17:00	PST	0.51	P
USGS	11455385	2023-02-25 17:15	PST	0.52	P
